lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.3207335,-75.5964283,SMITH RD & DETAR RD; DOUGLASS; 2015-12-12 @ 13:44:30;,19525,Traffic: VEHICLE ACCIDENT -,12/12/2015 13:44,DOUGLASS,SMITH RD & DETAR RD,1
40.3121807,-75.5742598,MILES RD & N CHARLOTTE ST; NEW HANOVER; 2015-12-12 @ 18:52:00;,19525,Traffic: VEHICLE ACCIDENT -,12/12/2015 18:52,NEW HANOVER,MILES RD & N CHARLOTTE ST,1
40.313464,-75.6066519,MOORE DR & S WERSTLER AVE;  DOUGLASS; Station 332; 2015-12-12 @ 21:12:50;,19525,EMS: FALL VICTIM,12/12/2015 21:12,DOUGLASS,MOORE DR & S WERSTLER AVE,1
40.0797963,-75.168305,CHELTENHAM AVE & E DURHAM ST; CHELTENHAM; 2016-07-19 @ 20:04:06-Station:STA1;,19150,Fire: FIRE ALARM,7/19/2016 20:04,CHELTENHAM,CHELTENHAM AVE & E DURHAM ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-07-19 @ 21:45:32;,19150,Traffic: VEHICLE ACCIDENT -,7/19/2016 21:45,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-07-21 @ 15:25:12;,19150,Traffic: VEHICLE ACCIDENT -,7/21/2016 15:25,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0722945,-75.1584789,79TH AVE;  CHELTENHAM; Station 358A; 2016-07-21 @ 21:15:09;,19150,EMS: VEHICLE ACCIDENT,7/21/2016 21:15,CHELTENHAM,79TH AVE,1
40.072731,-75.1559688,79TH AVE & CHELTENHAM AVE; CHELTENHAM; 2016-07-21 @ 21:15:08;,19150,Traffic: VEHICLE ACCIDENT -,7/21/2016 21:15,CHELTENHAM,79TH AVE & CHELTENHAM AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-07-22 @ 13:58:57;,19150,Traffic: VEHICLE ACCIDENT -,7/22/2016 13:58,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-07-25 @ 12:27:13;,19150,EMS: VEHICLE ACCIDENT,7/25/2016 12:27,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-07-25 @ 12:27:29;,19150,Traffic: VEHICLE ACCIDENT -,7/25/2016 12:27,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-07-29 @ 09:13:30;,19150,EMS: UNKNOWN MEDICAL EMERGENCY,7/29/2016 9:13,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-07-29 @ 15:25:31;,19150,Traffic: VEHICLE ACCIDENT -,7/29/2016 15:25,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-07-29 @ 15:44:03;,19150,Traffic: VEHICLE ACCIDENT -,7/29/2016 15:44,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-07-30 @ 12:44:20;,19150,EMS: MATERNITY,7/30/2016 12:44,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-07-30 @ 21:56:55;,19150,EMS: RESPIRATORY EMERGENCY,7/30/2016 21:56,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-01 @ 07:50:36;,19150,EMS: FRACTURE,8/1/2016 7:50,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-01 @ 14:55:27;,19150,Traffic: VEHICLE ACCIDENT -,8/1/2016 14:55,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-02 @ 19:31:08;,19150,EMS: NAUSEA/VOMITING,8/2/2016 19:31,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-05 @ 11:44:50;,19150,Traffic: VEHICLE ACCIDENT -,8/5/2016 11:44,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-05 @ 11:56:15;,19150,Traffic: VEHICLE ACCIDENT -,8/5/2016 11:56,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-05 @ 15:53:16;,19150,EMS: NAUSEA/VOMITING,8/5/2016 15:53,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-06 @ 14:46:58;,19150,Traffic: VEHICLE ACCIDENT -,8/6/2016 14:46,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-06 @ 14:59:42;,19150,EMS: FALL VICTIM,8/6/2016 14:59,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-07 @ 13:00:47;,19150,Traffic: VEHICLE ACCIDENT -,8/7/2016 13:00,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-08-07 @ 21:06:24;,19150,EMS: SUBJECT IN PAIN,8/7/2016 21:06,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-08 @ 16:38:33;,19150,Traffic: VEHICLE ACCIDENT -,8/8/2016 16:38,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-08 @ 20:58:21;,19150,EMS: CARDIAC EMERGENCY,8/8/2016 20:58,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-09 @ 13:32:41;,19150,EMS: SEIZURES,8/9/2016 13:32,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-09 @ 17:38:30;,19150,Traffic: VEHICLE ACCIDENT -,8/9/2016 17:38,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-10 @ 10:29:52;,19150,Traffic: VEHICLE ACCIDENT -,8/10/2016 10:29,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-10 @ 12:26:44;,19150,Traffic: VEHICLE ACCIDENT -,8/10/2016 12:26,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-10 @ 21:50:14;,19150,Traffic: VEHICLE ACCIDENT -,8/10/2016 21:50,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0797963,-75.168305,CHELTENHAM AVE & E DURHAM ST; CHELTENHAM; 2016-08-12 @ 15:14:54-Station:STA1;,19150,Fire: FIRE ALARM,8/12/2016 15:14,CHELTENHAM,CHELTENHAM AVE & E DURHAM ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-12 @ 18:58:01;,19150,Traffic: VEHICLE ACCIDENT -,8/12/2016 18:58,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-13 @ 15:58:02;,19150,EMS: CARDIAC EMERGENCY,8/13/2016 15:58,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0757728,-75.1612811,CHELTENHAM AVE & E PHIL ELLENA ST; CHELTENHAM; 2016-08-13 @ 17:50:58-Station:STA1;,19150,Fire: VEHICLE ACCIDENT,8/13/2016 17:50,CHELTENHAM,CHELTENHAM AVE & E PHIL ELLENA ST,1
40.0757728,-75.1612811,CHELTENHAM AVE & E PHIL ELLENA ST;  CHELTENHAM; Station 358A; 2016-08-13 @ 17:51:06;,19150,EMS: VEHICLE ACCIDENT,8/13/2016 17:51,CHELTENHAM,CHELTENHAM AVE & E PHIL ELLENA ST,1
40.0757728,-75.1612811,CHELTENHAM AVE & E PHIL ELLENA ST; CHELTENHAM; 2016-08-13 @ 17:51:04;,19150,Traffic: VEHICLE ACCIDENT -,8/13/2016 17:51,CHELTENHAM,CHELTENHAM AVE & E PHIL ELLENA ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-13 @ 18:32:48;,19150,EMS: BACK PAINS/INJURY,8/13/2016 18:32,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-14 @ 15:00:15-Station:STA2;,19150,Fire: WOODS/FIELD FIRE,8/14/2016 15:00,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-15 @ 19:31:27;,19150,EMS: CARDIAC EMERGENCY,8/15/2016 19:31,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-16 @ 01:00:43;,19150,EMS: SEIZURES,8/16/2016 1:00,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-16 @ 13:55:28-Station:STA2;,19150,Fire: WOODS/FIELD FIRE,8/16/2016 13:55,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-08-16 @ 17:52:59;,19150,EMS: SUBJECT IN PAIN,8/16/2016 17:52,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0797963,-75.168305,CHELTENHAM AVE & E DURHAM ST;  CHELTENHAM; Station 358A; 2016-08-17 @ 20:44:49;,19150,EMS: VEHICLE ACCIDENT,8/17/2016 20:44,CHELTENHAM,CHELTENHAM AVE & E DURHAM ST,1
40.0797963,-75.168305,CHELTENHAM AVE & E DURHAM ST; CHELTENHAM; 2016-08-17 @ 20:46:30;,19150,Traffic: VEHICLE ACCIDENT -,8/17/2016 20:46,CHELTENHAM,CHELTENHAM AVE & E DURHAM ST,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-08-18 @ 06:12:32;,19150,EMS: MEDICAL ALERT ALARM,8/18/2016 6:12,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-18 @ 08:53:45-Station:STA2;,19150,Fire: FIRE ALARM,8/18/2016 8:53,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-18 @ 18:05:54;,19150,Traffic: DISABLED VEHICLE -,8/18/2016 18:05,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-19 @ 05:54:30;,19150,EMS: RESPIRATORY EMERGENCY,8/19/2016 5:54,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-19 @ 23:33:12;,19150,EMS: ABDOMINAL PAINS,8/19/2016 23:33,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-08-20 @ 03:48:13;,19150,EMS: CARDIAC EMERGENCY,8/20/2016 3:48,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0797963,-75.168305,CHELTENHAM AVE & E DURHAM ST; CHELTENHAM; 2016-08-22 @ 18:40:16;,19150,Traffic: VEHICLE ACCIDENT -,8/22/2016 18:40,CHELTENHAM,CHELTENHAM AVE & E DURHAM ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-22 @ 23:07:24;,19150,EMS: RESPIRATORY EMERGENCY,8/22/2016 23:07,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-23 @ 04:07:04-Station:STA2;,19150,Fire: FIRE ALARM,8/23/2016 4:07,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-23 @ 05:14:53;,19150,Traffic: HAZARDOUS ROAD CONDITIONS -,8/23/2016 5:14,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-23 @ 10:05:54;,19150,Traffic: VEHICLE ACCIDENT -,8/23/2016 10:05,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-23 @ 10:30:38;,19150,EMS: ALTERED MENTAL STATUS,8/23/2016 10:30,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-08-26 @ 11:10:15;,19150,EMS: VEHICLE ACCIDENT,8/26/2016 11:10,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-26 @ 11:10:06;,19150,Traffic: VEHICLE ACCIDENT -,8/26/2016 11:10,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-26 @ 11:31:12-Station:STA2;,19150,Fire: FIRE ALARM,8/26/2016 11:31,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-26 @ 11:39:50-Station:STA2;,19150,Fire: FIRE INVESTIGATION,8/26/2016 11:39,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0797963,-75.168305,CHELTENHAM AVE & E DURHAM ST; CHELTENHAM; 2016-08-26 @ 14:48:54-Station:STA1;,19150,Fire: FIRE ALARM,8/26/2016 14:48,CHELTENHAM,CHELTENHAM AVE & E DURHAM ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-26 @ 15:00:42;,19150,Traffic: VEHICLE ACCIDENT -,8/26/2016 15:00,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-27 @ 10:45:57;,19150,Traffic: VEHICLE ACCIDENT -,8/27/2016 10:45,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-28 @ 11:36:21;,19150,EMS: CARDIAC EMERGENCY,8/28/2016 11:36,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-08-29 @ 14:27:04;,19150,EMS: RESPIRATORY EMERGENCY,8/29/2016 14:27,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-08-30 @ 09:58:43;,19150,EMS: UNKNOWN MEDICAL EMERGENCY,8/30/2016 9:58,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-08-30 @ 20:47:13;,19150,Traffic: DISABLED VEHICLE -,8/30/2016 20:47,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-08-30 @ 20:42:04;,19150,Traffic: VEHICLE ACCIDENT -,8/30/2016 20:42,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-09-01 @ 14:03:04;,19150,EMS: SUBJECT IN PAIN,9/1/2016 14:03,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-06 @ 12:26:28;,19150,Traffic: VEHICLE ACCIDENT -,9/6/2016 12:26,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-09-07 @ 00:23:19;,19150,EMS: FALL VICTIM,9/7/2016 0:23,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST; SPRINGFIELD; 2016-09-07 @ 00:40:08-Station:STA82;,19150,Fire: FIRE SPECIAL SERVICE,9/7/2016 0:40,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-09-07 @ 11:15:54;,19150,EMS: CARDIAC EMERGENCY,9/7/2016 11:15,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-09-08 @ 16:10:28;,19150,Traffic: VEHICLE ACCIDENT -,9/8/2016 16:10,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-09-10 @ 08:40:11;,19150,Traffic: VEHICLE ACCIDENT -,9/10/2016 8:40,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-09-12 @ 18:44:57;,19150,EMS: ALTERED MENTAL STATUS,9/12/2016 18:44,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-12 @ 19:18:17;,19150,Traffic: VEHICLE ACCIDENT -,9/12/2016 19:18,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-09-13 @ 12:30:35;,19150,EMS: FALL VICTIM,9/13/2016 12:30,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-09-13 @ 23:18:36;,19150,EMS: RESPIRATORY EMERGENCY,9/13/2016 23:18,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-09-15 @ 07:04:05;,19150,EMS: CARDIAC ARREST,9/15/2016 7:04,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-09-18 @ 05:24:12;,19150,EMS: FEVER,9/18/2016 5:24,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-18 @ 17:47:00;,19150,Traffic: VEHICLE ACCIDENT -,9/18/2016 17:47,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-20 @ 08:09:35-Station:STA2;,19150,Fire: FIRE ALARM,9/20/2016 8:09,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-09-20 @ 21:42:32;,19150,EMS: OVERDOSE,9/20/2016 21:42,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-23 @ 19:26:02;,19150,Traffic: VEHICLE ACCIDENT -,9/23/2016 19:26,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-23 @ 21:24:27;,19150,Traffic: VEHICLE ACCIDENT -,9/23/2016 21:24,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE; CHELTENHAM; 2016-09-25 @ 18:14:02-Station:STA2;,19150,Fire: WOODS/FIELD FIRE,9/25/2016 18:14,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.0843148,-75.1758808,CHELTENHAM AVE & WOODBROOK LN;  CHELTENHAM; Station 358A; 2016-09-28 @ 10:39:53;,19150,EMS: NAUSEA/VOMITING,9/28/2016 10:39,CHELTENHAM,CHELTENHAM AVE & WOODBROOK LN,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-09-28 @ 12:45:02;,19150,EMS: SYNCOPAL EPISODE,9/28/2016 12:45,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-29 @ 10:02:58-Station:STA2;,19150,Fire: FIRE ALARM,9/29/2016 10:02,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-09-30 @ 12:12:32-Station:STA2;,19150,Fire: FIRE ALARM,9/30/2016 12:12,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0741083,-75.1583107,CHELTENHAM AVE & OGONTZ AVE;  CHELTENHAM; Station 358A; 2016-10-01 @ 22:28:36;,19150,EMS: CARDIAC EMERGENCY,10/1/2016 22:28,CHELTENHAM,CHELTENHAM AVE & OGONTZ AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-10-02 @ 20:20:45;,19150,EMS: VEHICLE ACCIDENT,10/2/2016 20:20,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-10-02 @ 20:20:48;,19150,Traffic: VEHICLE ACCIDENT -,10/2/2016 20:20,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; Station 358A; 2016-10-03 @ 10:38:25;,19150,EMS: UNKNOWN MEDICAL EMERGENCY,10/3/2016 10:38,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2016-10-08 @ 21:55:29-Station:STA2;,19150,Fire: FIRE ALARM,10/8/2016 21:55,CHELTENHAM,CHELTENHAM AVE & 79TH AVE,1
40.0828901,-75.1781989,IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2016-10-09 @ 00:15:17;,19150,EMS: ALTERED MENTAL STATUS,10/9/2016 0:15,SPRINGFIELD,IVY HILL RD & BAYARD ST,1
